time	V(rpm)	I(L1)
0.000000000000000e+00	-3.819349e-03	6.639358e-06
9.999999717180685e-10	-9.552193e-04	6.639320e-06
1.999999943436137e-09	-7.639016e-07	6.639284e-06
5.822926556244738e-07	-2.224092e-04	6.921110e-06
1.162585311305512e-06	-4.440484e-04	7.788632e-06
1.742877966986549e-06	-6.656814e-04	9.241851e-06
2.323170622667587e-06	-8.873083e-04	1.128077e-05
2.903463278348625e-06	-1.108929e-03	1.390538e-05
3.483755934029662e-06	-1.330543e-03	1.711568e-05
4.064048589710698e-06	-1.552152e-03	2.091169e-05
8.128034652426393e-06	-3.103661e-03	6.332328e-05
1.625600677785778e-05	-6.202597e-03	2.284332e-04
3.251195102872057e-05	-1.237381e-02	8.340495e-04
6.041356624994250e-05	-2.291277e-02	2.301934e-03
6.141356624994250e-05	-2.328842e-02	2.367432e-03
6.741356624994250e-05	-2.552838e-02	2.830077e-03
7.541356624994250e-05	-2.849621e-02	3.511369e-03
9.241356624994249e-05	-3.476605e-02	5.075239e-03
9.841356624994249e-05	-3.695200e-02	5.701508e-03
1.094135662499425e-04	-4.093435e-02	6.907430e-03
1.222707091070853e-04	-4.554034e-02	8.455077e-03
1.351278519642282e-04	-5.007129e-02	1.009753e-02
1.479849948213710e-04	-5.452718e-02	1.183478e-02
1.608421376785139e-04	-5.890801e-02	1.366684e-02
1.736992805356567e-04	-6.321380e-02	1.559369e-02
1.865564233927996e-04	-6.744453e-02	1.761536e-02
1.994135662499424e-04	-7.160021e-02	1.973182e-02
2.219849948213710e-04	-7.869496e-02	2.364324e-02
2.445564233927996e-04	-8.547695e-02	2.769623e-02
2.671278519642282e-04	-9.194619e-02	3.189079e-02
2.896992805356568e-04	-9.810267e-02	3.622691e-02
3.122707091070854e-04	-1.039464e-01	4.070461e-02
3.348421376785140e-04	-1.094774e-01	4.532387e-02
3.574135662499425e-04	-1.146956e-01	5.008471e-02
3.934135662499427e-04	-1.223091e-01	5.785428e-02
4.294135662499429e-04	-1.289945e-01	6.573499e-02
4.654135662499431e-04	-1.347520e-01	7.372686e-02
5.014135662499432e-04	-1.395814e-01	8.182988e-02
5.374135662499435e-04	-1.434828e-01	9.004404e-02
5.734135662499436e-04	-1.464562e-01	9.836935e-02
6.094135662499437e-04	-1.485015e-01	1.068058e-01
6.289849948213724e-04	-1.491978e-01	1.113877e-01
6.485564233928012e-04	-1.496079e-01	1.159794e-01
6.681278519642300e-04	-1.497317e-01	1.205809e-01
6.876992805356587e-04	-1.495693e-01	1.251920e-01
7.072707091070874e-04	-1.491207e-01	1.298130e-01
7.268421376785162e-04	-1.483859e-01	1.344436e-01
7.464135662499449e-04	-1.473648e-01	1.390841e-01
8.238421376785170e-04	-1.405054e-01	1.575212e-01
9.012707091070892e-04	-1.291099e-01	1.759776e-01
9.786992805356613e-04	-1.131785e-01	1.944532e-01
1.056127851964234e-03	-9.271098e-02	2.129481e-01
1.133556423392806e-03	-6.770746e-02	2.314622e-01
1.210984994821378e-03	-3.816792e-02	2.499955e-01
1.288413566249950e-03	-4.092355e-03	2.685481e-01
1.295413566249950e-03	-7.877306e-04	2.702231e-01
1.304984994821378e-03	3.790593e-03	2.725133e-01
1.314556423392807e-03	8.438267e-03	2.748035e-01
1.324127851964236e-03	1.315529e-02	2.770935e-01
1.333699280535664e-03	1.794167e-02	2.793836e-01
1.343270709107093e-03	2.279740e-02	2.816735e-01
1.352842137678522e-03	2.772248e-02	2.839634e-01
1.362413566249950e-03	3.271692e-02	2.862532e-01
1.456181423392808e-03	8.532285e-02	3.086826e-01
1.549949280535666e-03	1.445587e-01	3.311013e-01
1.643717137678524e-03	2.104246e-01	3.535093e-01
1.737484994821382e-03	2.829204e-01	3.759066e-01
1.831252851964240e-03	3.620461e-01	3.982932e-01
1.925020709107099e-03	4.478018e-01	4.206691e-01
2.018788566249956e-03	5.401875e-01	4.430342e-01
2.084074280535671e-03	6.084094e-01	4.585986e-01
2.149359994821386e-03	6.798282e-01	4.741575e-01
2.214645709107101e-03	7.544440e-01	4.897108e-01
2.279931423392816e-03	8.322567e-01	5.052586e-01
2.345217137678531e-03	9.132664e-01	5.208008e-01
2.410502851964245e-03	9.974731e-01	5.363375e-01
2.475788566249960e-03	1.084877e+00	5.518686e-01
2.479788566249960e-03	1.090334e+00	5.528200e-01
2.609931423392818e-03	1.274502e+00	5.837629e-01
2.740074280535677e-03	1.471289e+00	6.146839e-01
2.870217137678535e-03	1.680696e+00	6.455829e-01
3.000359994821394e-03	1.902722e+00	6.764599e-01
3.130502851964252e-03	2.137368e+00	7.073150e-01
3.260645709107110e-03	2.384634e+00	7.381481e-01
3.390788566249968e-03	2.644519e+00	7.689592e-01
3.567074280535684e-03	3.016625e+00	8.106596e-01
3.743359994821400e-03	3.411647e+00	8.523200e-01
3.919645709107116e-03	3.829584e+00	8.939406e-01
4.095931423392832e-03	4.270437e+00	9.355213e-01
4.272217137678548e-03	4.734206e+00	9.770621e-01
4.448502851964264e-03	5.220891e+00	1.018563e+00
4.624788566249980e-03	5.730491e+00	1.060024e+00
4.867788566249981e-03	6.470144e+00	1.117111e+00
5.130074280535698e-03	7.317273e+00	1.178644e+00
5.392359994821415e-03	8.214264e+00	1.240089e+00
5.654645709107131e-03	9.161118e+00	1.301448e+00
5.916931423392849e-03	1.015783e+01	1.362721e+00
6.179217137678565e-03	1.120441e+01	1.423906e+00
6.441502851964282e-03	1.230085e+01	1.485005e+00
6.703788566249998e-03	1.344716e+01	1.546016e+00
6.782502851964284e-03	1.380073e+01	1.564310e+00
6.861217137678571e-03	1.415875e+01	1.582596e+00
6.939931423392857e-03	1.452121e+01	1.600874e+00
7.018645709107143e-03	1.488810e+01	1.619144e+00
7.097359994821430e-03	1.525943e+01	1.637407e+00
7.176074280535716e-03	1.563521e+01	1.655662e+00
7.254788566250002e-03	1.601542e+01	1.673909e+00
7.256788566250003e-03	1.602514e+01	1.674372e+00
7.597788566250006e-03	1.772449e+01	1.753330e+00
